track_popularity,playlist_name,danceability,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
81,20,0.584,1,0,0.0576,0.0895,0.0,0.261,0.195,137.972,220883.0
76,20,0.743,8,1,0.0375,0.00402,0.0,0.304,0.622,104.977,189467.0
96,20,0.721,10,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714.0
84,20,0.781,11,1,0.0394,0.0119,4.91e-06,0.325,0.486,123.07,213309.0
86,20,0.737,11,1,0.0396,0.0149,0.000583,0.0862,0.517,124.052,208474.0
68,20,0.57,1,1,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,239853.0
66,20,0.551,8,0,0.0594,0.225,0.0,0.224,0.562,144.875,194907.0
83,20,0.617,11,0,0.0317,0.0498,1.44e-05,0.164,0.446,103.019,247160.0
85,20,0.791,9,0,0.11,0.037,2.19e-05,0.0814,0.592,123.994,214847.0
73,20,0.503,5,1,0.0619,0.0305,0.0,0.343,0.356,125.896,210013.0
69,20,0.64,0,1,0.0706,0.119,0.0,0.0864,0.515,99.968,220781.0
69,20,0.658,5,1,0.0393,0.248,0.0,0.368,0.248,124.91,251627.0
81,20,0.649,8,1,0.0349,0.0863,2.63e-05,0.135,0.163,99.988,205947.0
73,20,0.713,4,1,0.0561,0.0435,0.00377,0.309,0.343,100.001,226739.0
61,20,0.596,8,1,0.0411,0.109,0.0,0.0947,0.461,127.961,217347.0
19,20,0.503,1,1,0.167,0.0159,9.45e-05,0.0895,0.521,121.985,255632.0
57,20,0.609,5,0,0.0414,0.0723,8.45e-06,0.0895,0.362,93.958,195000.0
81,20,0.654,0,0,0.045,0.0797,0.0,0.299,0.41,99.945,200787.0
79,20,0.63,9,0,0.0331,0.199,0.124,0.148,0.465,123.963,222160.0
84,20,0.532,2,1,0.0523,0.0038,0.0012,0.161,0.643,124.08,247427.0
84,20,0.694,6,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560.0
66,20,0.604,0,0,0.103,0.0679,0.15,0.127,0.301,126.062,245040.0
8,20,0.432,7,1,0.062,0.0342,6.59e-06,0.14,0.193,139.42,242520.0
64,20,0.638,8,1,0.049,0.141,0.0,0.113,0.648,124.071,227893.0
61,20,0.759,11,0,0.0818,0.0223,0.0,0.231,0.469,105.009,209733.0
27,20,0.614,11,0,0.0522,0.11,0.0,0.185,0.429,129.038,213169.0
74,20,0.669,0,1,0.0682,0.0106,0.0,0.0968,0.7,113.035,237547.0
57,20,0.702,0,1,0.03,0.433,0.0,0.135,0.382,102.997,286322.0
69,20,0.851,4,1,0.0786,0.12,1.33e-06,0.121,0.776,119.001,237200.0
77,20,0.738,11,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640.0
74,24,0.57,8,0,0.0723,0.177,0.0,0.0768,0.448,120.019,208222.0
5,24,0.67,5,0,0.0576,0.122,0.0,0.333,0.568,124.967,206440.0
57,24,0.708,9,1,0.0389,0.0201,0.676,0.37,0.512,120.012,231480.0
68,24,0.654,4,1,0.0502,0.00515,0.0,0.144,0.409,123.978,164490.0
65,24,0.945,6,0,0.044,0.0955,0.341,0.147,0.626,124.996,168547.0
58,24,0.704,0,1,0.0395,0.0395,0.0249,0.181,0.633,126.055,155238.0
81,24,0.765,8,0,0.0965,0.125,0.0,0.423,0.95,96.071,184558.0
68,24,0.682,7,1,0.0401,0.0566,1e-06,0.101,0.304,124.004,198743.0
43,24,0.627,7,0,0.0349,0.0922,0.000166,0.143,0.596,124.039,159194.0
57,24,0.762,7,1,0.0778,0.135,0.0538,0.113,0.248,126.007,165714.0
58,24,0.577,7,1,0.0406,0.00407,6.13e-06,0.499,0.283,115.066,183653.0
58,24,0.632,8,1,0.0349,0.00205,0.106,0.119,0.134,127.95,202500.0
91,24,0.598,10,0,0.0415,0.129,0.0,0.14,0.529,123.935,168387.0
67,24,0.825,0,1,0.135,0.0906,0.00411,0.258,0.616,126.026,184582.0
42,24,0.63,6,1,0.0352,0.0191,7.82e-06,0.704,0.46,119.997,240000.0
70,24,0.795,0,1,0.0685,0.00235,0.000392,0.199,0.329,125.978,198839.0
64,24,0.529,6,0,0.24,0.123,0.000707,0.0363,0.481,103.99,257943.0
79,24,0.7,10,1,0.0666,0.121,7.08e-06,0.103,0.761,125.03,190302.0
48,24,0.791,1,1,0.054,0.123,4.74e-05,0.121,0.433,115.987,154654.0
53,24,0.904,0,1,0.0958,0.203,0.000266,0.163,0.492,121.995,179016.0
75,24,0.744,11,1,0.0303,0.018,9.29e-06,0.212,0.904,118.034,167859.0
46,24,0.772,9,0,0.211,0.0528,0.0,0.834,0.59,118.116,154286.0
67,24,0.706,6,1,0.026,0.127,0.00129,0.109,0.296,111.991,183183.0
65,24,0.664,11,0,0.27,0.0352,0.0,0.0612,0.252,122.019,216256.0
56,24,0.781,1,0,0.0374,0.0814,9.71e-05,0.106,0.498,110.051,158091.0
42,24,0.789,9,0,0.0748,0.072,9.21e-05,0.0782,0.48,120.024,203227.0
58,24,0.575,1,1,0.0439,0.0446,0.0,0.0693,0.232,127.922,179531.0
74,24,0.669,9,0,0.0624,0.259,0.0,0.199,0.552,119.865,185943.0
65,24,0.567,5,0,0.0541,0.0978,1.37e-06,0.0836,0.295,104.983,208367.0
64,24,0.653,3,1,0.0555,0.0997,0.0,0.242,0.233,128.015,204591.0
51,24,0.721,6,0,0.0606,0.142,0.0,0.143,0.327,110.026,169964.0
63,24,0.534,1,1,0.0338,0.0915,0.00107,0.225,0.117,127.978,172520.0
83,24,0.651,4,1,0.0375,0.458,0.0,0.335,0.392,118.97,236765.0
55,24,0.682,0,1,0.0364,0.00395,3e-05,0.242,0.37,130.052,153231.0
39,24,0.66,10,1,0.0789,0.429,0.0,0.0923,0.611,115.349,167249.0
48,24,0.57,6,0,0.0348,0.00108,0.523,0.201,0.148,123.008,291785.0
59,24,0.608,0,0,0.0684,0.199,0.0,0.309,0.422,126.022,182000.0
64,24,0.561,9,0,0.15,0.062,0.0,0.118,0.244,151.631,242385.0
42,24,0.591,4,0,0.223,0.0804,0.0,0.326,0.482,127.013,177638.0
70,24,0.626,1,0,0.035,0.0267,0.000138,0.0623,0.258,127.966,160184.0
57,24,0.745,11,0,0.0361,0.0209,0.000479,0.113,0.314,122.008,204693.0
21,24,0.66,2,1,0.321,0.167,1.36e-05,0.119,0.233,130.069,225160.0
68,24,0.53,0,1,0.0376,0.00699,0.0,0.103,0.219,139.929,238338.0
63,24,0.552,1,1,0.147,0.0457,0.0207,0.0903,0.783,125.229,131204.0
54,24,0.471,2,0,0.0594,0.0316,0.00648,0.571,0.197,126.112,170000.0
79,24,0.747,10,0,0.0722,0.0233,1.38e-05,0.761,0.67,125.07,147027.0
72,24,0.712,11,1,0.0345,0.0416,0.000104,0.0668,0.781,122.014,204514.0
80,24,0.733,9,0,0.033,0.479,0.0645,0.105,0.52,124.948,147840.0
47,24,0.517,6,0,0.0367,0.0214,0.00046,0.0892,0.176,90.06,157333.0
19,24,0.675,4,1,0.0372,0.00339,8.55e-05,0.279,0.414,125.037,200640.0
79,24,0.818,11,0,0.2,0.0663,1.17e-05,0.133,0.52,128.136,160794.0
59,24,0.639,7,0,0.0344,0.128,6.69e-06,0.159,0.305,128.002,225000.0
68,24,0.535,6,0,0.0353,0.0202,0.000715,0.0886,0.732,126.012,178671.0
72,24,0.784,8,1,0.0506,0.0149,0.00424,0.285,0.895,121.966,176219.0
66,24,0.809,4,0,0.101,0.409,0.000544,0.166,0.71,125.022,142230.0
59,24,0.669,1,1,0.0403,0.0318,0.0372,0.555,0.159,121.995,220205.0
64,15,0.578,9,1,0.13,0.232,0.000106,0.122,0.347,105.945,179151.0
9,15,0.733,1,0,0.0335,0.0145,0.000187,0.162,0.471,126.009,223533.0
41,15,0.63,0,1,0.0978,0.0717,0.0,0.108,0.499,122.055,196475.0
69,15,0.845,2,0,0.0658,0.212,0.0,0.111,0.782,114.054,195924.0
66,15,0.679,2,1,0.0566,0.0337,0.0,0.0688,0.441,121.927,183934.0
68,15,0.657,0,0,0.0456,0.247,0.00202,0.112,0.179,127.994,195000.0
66,15,0.493,5,0,0.157,0.429,7.07e-06,0.0807,0.301,123.149,193548.0
63,15,0.687,4,1,0.0459,0.091,0.0,0.124,0.27,115.268,127826.0
68,15,0.654,6,1,0.0543,0.169,1.77e-06,0.134,0.542,119.85,184027.0
23,15,0.661,7,1,0.0864,0.0797,0.0,0.106,0.387,114.098,224061.0
67,15,0.447,9,0,0.09,0.175,0.0,0.478,0.437,125.655,175312.0
62,15,0.731,5,1,0.0623,0.022,0.0,0.059,0.434,121.991,179016.0
9,15,0.489,3,1,0.0851,0.0511,1.35e-05,0.126,0.117,121.445,190645.0
59,15,0.6,8,1,0.13,0.00166,0.0,0.4,0.641,126.056,157024.0
71,15,0.687,4,1,0.0328,0.0536,9.29e-05,0.16,0.607,127.033,188656.0
21,15,0.711,7,1,0.106,0.0835,0.0,0.0389,0.478,104.048,208947.0
81,15,0.693,9,1,0.0801,0.374,0.0,0.252,0.492,117.999,211362.0
69,15,0.683,7,1,0.037,0.0643,1.34e-05,0.177,0.581,122.997,184564.0
56,15,0.638,9,0,0.05,0.131,1.78e-05,0.107,0.489,126.015,167990.0
56,15,0.707,6,1,0.175,0.00908,0.0,0.366,0.634,119.972,163000.0
60,15,0.59,5,1,0.0765,0.0216,0.0,0.487,0.288,126.094,185714.0
40,15,0.632,4,1,0.053,0.0942,0.0,0.215,0.557,125.989,201905.0
57,15,0.703,1,0,0.177,0.0693,0.0,0.315,0.542,124.972,183360.0
70,15,0.79,9,1,0.0502,0.241,0.0,0.316,0.538,124.971,212280.0
63,15,0.733,4,0,0.0376,0.0107,0.0102,0.33,0.206,122.993,176098.0
65,15,0.728,5,1,0.185,0.0427,4.49e-06,0.118,0.612,124.993,193137.0
56,15,0.502,0,1,0.244,0.333,0.0,0.72,0.607,122.688,183341.0
2,15,0.638,1,0,0.0421,0.24,0.0,0.311,0.582,103.16,132233.0
